nazwa,jednostka,wartosc,niepewnosc
d_cz,rad,0.4152913992,5.598146185797968e-06
d_zo,rad,0.3630866621,5.598146185797968e-06
d_zie,rad,0.3078179024,5.598146185797968e-06
d_n,rad,0.2887162434,5.598146185797968e-06
d_f,rad,0.2734349161,5.598146185797968e-06
w_zo,rad,0.3631836248,5.598146185797968e-06
w_n,rad,0.2976659039,5.598146185797968e-06
k_zie,rad,0.3430541608,5.598146185797968e-06
k_zo,rad,0.3621849086,5.598146185797968e-06
d1,,1655.19671102682,0.0210144278748120
d2,,1654.45931444419,0.0243778648632732
d3,,1658.85631708203,0.0292099499278245
d4,,1655.29979524158,0.0311991063276428
d5,,1655.67862386986,0.0330483543088502
d_sr,,1655.89815233290,0.0125772582181500
wzo,,588.261109464815,0.00974941326079948
wnie,,485.657634732101,0.00959934715494327
kzie,,556.985944623764,0.00970088723283868
kzo,,588.261109464815,0.00974941326079948
